w	aiii	av	biii	bv	fiii	fv	giii	gv	kiii	kv	miii	mv
1460.0	0.011224	0.008776	10.484604	10.262421	0.001895	0.000881	0.000000	0.000162	0.000000	0.000000	0.000000	0.000000
1465.0	0.013882	0.009922	10.035140	9.971535	0.001654	0.000856	0.000000	0.000277	0.000000	0.000000	0.000000	0.000000
1470.0	0.011612	0.009787	9.913225	9.899981	0.002674	0.001054	0.000000	0.000431	0.000000	0.000000	0.000000	0.000000
1475.0	0.012124	0.009197	9.805633	9.840605	0.002988	0.000760	0.000000	0.000299	0.000000	0.000000	0.000000	0.000000
1480.0	0.015548	0.007739	9.775767	9.734473	0.002242	0.000801	0.000000	0.000225	0.000000	0.000000	0.000000	0.000000
1485.0	0.015132	0.012502	9.850442	9.584067	0.002787	0.001086	0.000000	0.000465	0.000000	0.000000	0.000000	0.000000
1490.0	0.013911	0.011960	10.117519	9.975272	0.003285	0.000688	0.000000	0.000517	0.000000	0.000000	0.000000	0.000000
1495.0	0.012812	0.014853	10.110962	10.071577	0.003880	0.000619	0.000000	0.000489	0.000000	0.000000	0.000000	0.000000
1500.0	0.014799	0.014664	9.895293	9.815913	0.003442	0.000857	0.000000	0.000363	0.000000	0.000000	0.000000	0.000000
1505.0	0.015351	0.013581	9.540217	9.289450	0.002393	0.000831	0.000000	0.000296	0.000000	0.000000	0.000000	0.000000
1510.0	0.016907	0.012138	9.142512	8.860251	0.002300	0.000770	0.000000	0.000391	0.000000	0.000000	0.000000	0.000000
1515.0	0.014791	0.014114	9.284983	8.835525	0.002052	0.000775	0.000000	0.000333	0.000000	0.000000	0.000000	0.000000
1520.0	0.015878	0.017457	9.501163	8.998365	0.002223	0.001116	0.000000	0.000339	0.000000	0.000000	0.000000	0.000000
1525.0	0.019053	0.018865	8.868892	8.702378	0.002399	0.001232	0.000000	0.000348	0.000000	0.000000	0.000000	0.000000
1530.0	0.017465	0.021896	8.658627	8.411409	0.002496	0.001295	0.000000	0.000600	0.000000	0.000000	0.000000	0.000000
1535.0	0.021131	0.029058	8.706798	8.583553	0.002381	0.001223	0.000000	0.000558	0.000000	0.000000	0.000000	0.000000
1540.0	0.033751	0.037799	9.118935	8.842937	0.001692	0.001384	0.000000	0.000435	0.000000	0.000000	0.000000	0.000000
1545.0	0.037006	0.048530	9.077854	8.977243	0.001630	0.001567	0.000000	0.001056	0.000000	0.000000	0.000000	0.000000
1550.0	0.044153	0.052848	8.980369	8.905406	0.002721	0.002252	0.000000	0.001258	0.000000	0.000000	0.000000	0.000000
1555.0	0.049214	0.055661	8.971714	8.656923	0.003710	0.001687	0.000000	0.000509	0.000000	0.000000	0.000000	0.000000
1560.0	0.047787	0.070154	8.631410	8.299724	0.003298	0.001794	0.000000	0.000327	0.000000	0.000000	0.000000	0.000000
1565.0	0.056429	0.084374	8.623308	8.410389	0.003242	0.001821	0.000000	0.000350	0.000000	0.000000	0.000000	0.000000
1570.0	0.058916	0.077362	8.515007	8.486477	0.002271	0.001459	0.000000	0.000270	0.000000	0.000000	0.000000	0.000000
1575.0	0.066291	0.101298	8.554958	8.500392	0.002395	0.001588	0.000000	0.000374	0.000000	0.000000	0.000000	0.000000
1580.0	0.082387	0.129886	8.687493	8.433697	0.002922	0.001764	0.000000	0.000420	0.000000	0.000000	0.000000	0.000000
1585.0	0.080147	0.130405	8.847410	8.594638	0.000791	0.001461	0.000000	0.000343	0.000000	0.000000	0.000000	0.000000
1590.0	0.072816	0.118892	8.739961	8.411073	0.001216	0.001368	0.000000	0.000230	0.000000	0.000000	0.000000	0.000000
1595.0	0.077131	0.113174	8.490849	8.239865	0.003507	0.001573	0.000000	0.000259	0.000000	0.000000	0.000000	0.000000
1600.0	0.087259	0.127537	8.138158	8.049324	0.002684	0.001502	0.000000	0.000348	0.000000	0.000000	0.000000	0.000000
1605.0	0.092258	0.134704	7.911043	7.838521	0.002558	0.001482	0.000000	0.000345	0.000000	0.000000	0.000000	0.000000
1610.0	0.095164	0.145274	7.974933	7.650166	0.002931	0.001283	0.000000	0.000275	0.000000	0.000000	0.000000	0.000000
1615.0	0.101837	0.156276	8.205593	7.905583	0.002970	0.001708	0.000000	0.000287	0.000000	0.000000	0.000000	0.000000
1620.0	0.104245	0.154464	8.078227	7.995173	0.003333	0.001657	0.000000	0.000277	0.000000	0.000000	0.000000	0.000000
1625.0	0.105813	0.163653	7.961151	7.921497	0.003605	0.001632	0.000000	0.000394	0.000000	0.000000	0.000000	0.000000
1630.0	0.107071	0.159630	7.897203	7.823496	0.004815	0.001468	0.000000	0.000517	0.000000	0.000000	0.000000	0.000000
1635.0	0.119136	0.181385	7.873999	7.631125	0.004264	0.001295	0.000000	0.000660	0.000000	0.000000	0.000000	0.000000
1640.0	0.134052	0.211569	7.730651	7.472720	0.004136	0.001713	0.000000	0.000762	0.000000	0.000000	0.000000	0.000000
1645.0	0.157710	0.229657	7.756623	7.467947	0.003518	0.002038	0.000000	0.000427	0.000000	0.000000	0.000000	0.000000
1650.0	0.148385	0.207432	7.592339	7.402918	0.002774	0.001914	0.000000	0.000485	0.000000	0.000000	0.000000	0.000000
1655.0	0.112961	0.170190	7.220443	7.152717	0.003053	0.001774	0.000000	0.000945	0.000000	0.000000	0.000000	0.000000
1660.0	0.128042	0.214272	7.280695	7.111197	0.004359	0.001898	0.000000	0.000961	0.000000	0.000000	0.000000	0.000000
1665.0	0.172452	0.256604	7.436608	7.195093	0.005371	0.002226	0.000000	0.000576	0.000000	0.000000	0.000000	0.000000
1670.0	0.152526	0.201546	7.229578	7.127923	0.004904	0.002334	0.000000	0.000500	0.000000	0.000000	0.000000	0.000000
1675.0	0.153388	0.224185	7.549495	7.339759	0.004636	0.002449	0.000000	0.000432	0.000000	0.000000	0.000000	0.000000
1680.0	0.173973	0.264055	7.831969	7.464513	0.005465	0.002695	0.000000	0.000463	0.000000	0.000000	0.000000	0.000000
1685.0	0.177313	0.272627	7.741650	7.408573	0.007217	0.002919	0.000000	0.000480	0.000000	0.000000	0.000000	0.000000
1690.0	0.186323	0.274305	7.697759	7.321938	0.007651	0.003011	0.000000	0.000540	0.000000	0.000000	0.000000	0.000000
